id,uuid,image_url,latitude,longitude,place_county_name,place_state_name
235854654,c9e229a5-978c-4a4c-8602-a888a08953b0,https://inaturalist-open-data.s3.amazonaws.com/photos/419513109/medium.jpg,-16.9025402624,-70.3061712513,Candarave,Tacna
235854655,90a43939-9648-4285-b622-7ae1056e90a2,https://inaturalist-open-data.s3.amazonaws.com/photos/419513120/medium.jpg,-16.9025402624,-70.3061712513,Candarave,Tacna
235854656,734ab27c-ab0c-48f7-9d4e-8724e0728d70,https://inaturalist-open-data.s3.amazonaws.com/photos/419513110/medium.jpg,-16.9025402624,-70.3061712513,Candarave,Tacna
235854665,f917f2b5-06f2-4ab7-bf1f-d0250d307b2f,https://inaturalist-open-data.s3.amazonaws.com/photos/419513286/medium.jpg,-16.9025402624,-70.3061712513,Candarave,Tacna
235854666,7204dddd-aa9d-470e-96ee-6301dca8863d,https://inaturalist-open-data.s3.amazonaws.com/photos/419513302/medium.jpg,-16.9025402624,-70.3061712513,Candarave,Tacna
235854688,54327aea-6470-4928-8075-f4f72764d849,https://inaturalist-open-data.s3.amazonaws.com/photos/419513382/medium.jpg,-16.9025402624,-70.3061712513,Candarave,Tacna
236754556,1d415254-88d6-486d-a431-18ff4d910010,https://inaturalist-open-data.s3.amazonaws.com/photos/421236417/medium.jpg,-15.5679005531,-71.6147212614,Caylloma,Arequipa
237733064,cf7a796a-173e-474e-9163-869beadc0d0f,https://static.inaturalist.org/photos/423131141/medium.jpeg,-21.2389746389,-65.4893855472,Sud Chichas,Potosí
238523717,b26c16b1-70b8-4c78-b5e5-33fc6967ec27,https://inaturalist-open-data.s3.amazonaws.com/photos/424662389/medium.jpeg,-17.750808826,-69.7676628828,Parinacota,Arica y Parinacota
238690288,8b5ded8c-cd81-4385-a4d7-c5e2c025c618,https://inaturalist-open-data.s3.amazonaws.com/photos/424977924/medium.jpg,-28.4610805556,-66.0352305556,Capayán,Catamarca
240343135,bf3448f5-9558-42c6-9bae-84f12a13176c,https://inaturalist-open-data.s3.amazonaws.com/photos/428182405/medium.jpg,-15.7100269308,-71.5889131716,Caylloma,Arequipa
241011340,216e2876-b332-4878-bc85-26e0e7194f85,https://inaturalist-open-data.s3.amazonaws.com/photos/429474552/medium.jpeg,-21.3585361111,-68.0279388889,Nor Lípez,Potosí
241122641,7426927d-a7f1-4dbd-8f33-76675fef1660,https://inaturalist-open-data.s3.amazonaws.com/photos/429683501/medium.jpeg,-14.654341864,-73.1283266358,Aymaraes,Apurímac
241179681,0720fd57-6fba-4151-abac-1a247bf50423,https://inaturalist-open-data.s3.amazonaws.com/photos/429799035/medium.jpeg,-19.6084726914,-69.0328740701,Iquique,Tarapacá
241392456,5e57bd80-bfe2-495b-9fbf-341491f6de5a,https://inaturalist-open-data.s3.amazonaws.com/photos/430218098/medium.jpeg,-19.6074092791,-69.0240643546,Iquique,Tarapacá
241554463,f7c5b43e-d662-4e41-8a26-490c4f88f1cd,https://inaturalist-open-data.s3.amazonaws.com/photos/430520749/medium.jpeg,-19.6072551516,-69.0241310745,Iquique,Tarapacá
242156665,ee8636f8-0600-41b8-afbe-7428673678cc,https://static.inaturalist.org/photos/431679390/medium.jpeg,-18.2033069276,-69.2683358118,Parinacota,Arica y Parinacota
243162614,9531e4ff-7194-440f-9424-cf477d4148fa,https://inaturalist-open-data.s3.amazonaws.com/photos/433558216/medium.jpeg,-19.8411072356,-67.6192912068,Ladislao Cabrera,Oruro
243598081,38567fc1-8282-41ea-b9a1-856eda0a5bbd,https://inaturalist-open-data.s3.amazonaws.com/photos/434392438/medium.jpeg,-20.1818332348,-68.6975063928,Iquique,Tarapacá
243903800,6ddbb595-ff2f-4595-b66c-0a19f5fabd34,https://inaturalist-open-data.s3.amazonaws.com/photos/434987447/medium.jpeg,-15.775295,-71.55648,Caylloma,Arequipa
243904014,2de81bde-9cac-4adc-b59f-d156de6c69cb,https://inaturalist-open-data.s3.amazonaws.com/photos/434987829/medium.jpeg,-15.7755616593,-71.556555,Caylloma,Arequipa
243904104,be0d3e31-0f8e-4e63-bdf7-5fd756e09ee8,https://inaturalist-open-data.s3.amazonaws.com/photos/434988071/medium.jpeg,-15.7755916593,-71.5565716667,Caylloma,Arequipa
246532685,7819ee0b-074f-468e-b0a8-7b804809384e,https://inaturalist-open-data.s3.amazonaws.com/photos/440135968/medium.jpeg,-22.3972507103,-68.027843982,El Loa,Antofagasta
246694961,8ce5853c-508f-4505-8e94-6e8fe63655df,https://static.inaturalist.org/photos/440453674/medium.jpeg,-22.3702579728,-68.171841786,El Loa,Antofagasta
247174557,9ba2ee45-ca31-4659-a557-768d77b81d69,https://inaturalist-open-data.s3.amazonaws.com/photos/441400427/medium.jpeg,-21.35858,-68.0278778333,Nor Lípez,Potosí
