id,user_name,license,image_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
96840467,Giannira Álvarez,,https://static.inaturalist.org/photos/160940459/medium.jpeg,-26.0853206662,-70.633854121,Chañaral,Atacama,Cistanthe grandiflora,Pata de guanaco
97027785,Lion Nativo,,https://static.inaturalist.org/photos/161281847/medium.jpeg,-33.1750150587,-71.1534623802,Melipilla,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
97084696,Katherine Figueroa Mellado,,https://static.inaturalist.org/photos/161384058/medium.jpg,-32.750125,-71.00431945,San Felipe de Aconcagua,Valparaíso,Cistanthe grandiflora,Pata de guanaco
97108993,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/161431837/medium.jpeg,-32.0516731738,-71.5188271925,Choapa,Coquimbo,Cistanthe grandiflora,Pata de guanaco
97482872,David Gutiérrez,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/162130048/medium.jpeg,-33.1019353867,-71.7337291315,Valparaíso,Valparaíso,Cistanthe grandiflora,Pata de guanaco
98202442,Juan Mauricio Contreras,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/163456001/medium.jpeg,-25.0094297,-70.4645181,Antofagasta,Antofagasta,Cistanthe grandiflora,Pata de guanaco
98215912,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/163480645/medium.jpg,-27.81523667,-70.51029167,Copiapó,Atacama,Cistanthe grandiflora,Pata de guanaco
98225949,Eric Rojas-Abarca,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/163499096/medium.jpg,-33.4243,-71.6012883333,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
98270302,Rai,,https://static.inaturalist.org/photos/164623817/medium.jpeg,-32.920239,-71.5152149722,Valparaíso,Valparaíso,Cistanthe grandiflora,Pata de guanaco
98292783,Cąmï Quiroz Lambert,,https://static.inaturalist.org/photos/163616009/medium.jpeg,-33.7357940672,-70.3085174558,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
98548224,Javier Conejeros Gastó,,https://inaturalist-open-data.s3.amazonaws.com/photos/164098842/medium.jpeg,-34.308011,-70.5616720997,Cachapoal,Libertador General Bernardo O'Higgins,Cistanthe grandiflora,Pata de guanaco
98603741,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/164206144/medium.jpg,-28.4730133333,-71.2023783333,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
98651152,Dan Antonaccio,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/164292915/medium.jpg,37.3756749856,-122.4083428193,San Mateo,California,Cistanthe grandiflora,Pata de guanaco
